Table,Status,RowsInserted,Duration
zipcodes_bak,SUCCESS,603,0:00:01.754494
ZipCodes,SUCCESS,42767,0:00:04.407711
WaitingListEntry,"ERROR: (pymysql.err.DataError) (1366, ""Incorrect integer value: 'nan' for column 'CasesId' at row 1"") [SQL: INSERT INTO `CentricityPS_incremental`.`WaitingListEntry` (`WaitingListEntryId`, `PatientProfileId`, `WaitingListId`, `ListOrder`, `ApptId`, `CasesId`, `ResourceTypesMId`, `ApptTypeId`, `FacilityId`,",0,0:00:01.931641
WaitingList_new,SUCCESS,0,0:00:00.281384
VisitTransactions,SUCCESS,212028,0:03:21.891534
Vendor,SUCCESS,0,0:00:00.806115
USRGROUP_new,SUCCESS,0,0:00:00.276585
