Table,Status,RowsInserted,Duration
UserSecurityGroup,SUCCESS,181,0:00:01.731980
Transactions,SUCCESS,613862,0:02:22.970049
TransactionDistributions,SUCCESS,778079,0:06:56.406010
TransactionColumnSetColumns,SUCCESS,0,0:00:00.994331
TransactionColumnSet_new,SUCCESS,0,0:00:00.289312
TM_TaskHistory,SUCCESS,259491,0:00:23.579084
TM_Task,SUCCESS,92346,0:00:12.461722
TM_QueueAccess_new,SUCCESS,0,0:00:00.275403
TM_Queue_new,SUCCESS,0,0:00:00.282098
TicketNumbers,SUCCESS,1,0:00:01.586026
StatementsCriteriaGuarantor,SUCCESS,49279,0:00:04.666035
StatementsCriteria,SUCCESS,1,0:00:00.922174
SpreadSheetColumns,SUCCESS,9430,0:00:01.717445
SimpleLists,SUCCESS,1,0:00:01.610036
Settings,SUCCESS,44546,0:00:08.298522
SessionIds,SUCCESS,0,0:00:04.748009
SERVPROVORG_new,SUCCESS,0,0:00:00.276584
ServerSetupEvent_new,SUCCESS,0,0:00:00.280812
SecuritySettings,SUCCESS,27116,0:00:03.110144
SecurityNodes,SUCCESS,464,0:00:00.955046
ScheduleTimesAlloc,SUCCESS,254011,0:00:27.561170
ScheduleTimes,SUCCESS,75014,0:00:10.140527
ScheduleResource,SUCCESS,14049,0:00:10.538354
Schedule,SUCCESS,3065,0:00:01.127518
ResourceTypeAssignments,SUCCESS,232,0:00:01.749242
ReportSelect_new,SUCCESS,0,0:00:00.274397
ReportSecurity,SUCCESS,2279,0:00:01.220372
ReportParameter,SUCCESS,3,0:00:11.881553
ReportNodes,SUCCESS,3,0:00:12.250030
ReportCriteria_new,SUCCESS,0,0:00:00.280110
ReportControlProperty,SUCCESS,129,0:00:11.368290
ReportControlCriteria,SUCCESS,0,0:00:00.909461
ReportControl,SUCCESS,26,0:00:12.471180
RemitChecks,SUCCESS,0,0:00:00.924029
REL_OBS_EXT_CODE,SUCCESS,10227757,0:09:04.380563
Recall,SUCCESS,979,0:00:03.275423
