Table,Status,RowsInserted,Duration
ALLERGY_CASEBKP_20241017,"ERROR: (pymysql.err.DataError) (1265, ""Data truncated for column 'SNOMED' at row 1"") [SQL: INSERT INTO `CentricityPS_incremental`.`ALLERGY_CASEBKP_20241017` (`ExtractedDDID`, `PID`, `XID`, `AID`, `CHANGE`, `SDID`, `USRID`, `NAME`, `RASH`, `SHOCK`, `RESP`, `GI`, `HEME`, `OTHER`, `DESCRIPTION`, `ONSETDATE`, ",0,0:00:13.049710
AMH_CHART,SUCCESS,0,0:00:03.510532
Appointments_bak,SUCCESS,2172876,0:59:27.464661
ARCHIVE_DataMove_DETAIL,SUCCESS,0,0:00:01.494989
ARCHIVE_DataMove_DETAIL_ByMonth,SUCCESS,0,0:00:01.112339
ARCHIVE_DETAIL,SUCCESS,0,0:00:02.349089
AUCINDICATION,SUCCESS,0,0:00:01.003604
AUCRECOMMENDATION,SUCCESS,0,0:00:00.938524
BIOUSER,SUCCESS,0,0:00:00.822198
CARE_PLAN_new,SUCCESS,0,0:00:00.310444
