Table,Status,RowsInserted,Duration
cus_ACS_MappedStatus,SUCCESS,0,0:00:01.023889
cus_ACS_ORSecurity,SUCCESS,0,0:00:00.695053
cus_ACS_PatientListHistory,SUCCESS,0,0:00:01.490908
cus_ACS_PrintConfig,SUCCESS,0,0:00:00.701417
cus_ACS_Printed,SUCCESS,0,0:00:00.682463
cus_ACS_PVProcessing,SUCCESS,0,0:00:01.317365
cus_ACS_PVProcessingMods,SUCCESS,0,0:00:01.381766
cus_ACS_PVProcessingModstest,SUCCESS,0,0:00:01.338747
cus_ACS_PVProcessingTest,SUCCESS,0,0:00:01.381816
cus_ACS_Schedule,SUCCESS,0,0:00:00.823517
cus_ACS_VTProcessing,SUCCESS,0,0:00:01.350537
cus_ACS_VTProcessingTemp,SUCCESS,0,0:00:01.345066
cus_ACS_WorkListParameters,SUCCESS,0,0:00:00.707670
cus_ACS_WorkListTemp,SUCCESS,0,0:00:01.363879
cus_ACSReport_Config,SUCCESS,0,0:00:01.334113
cus_AOP_AppointmentProvider_new,SUCCESS,0,0:00:00.429098
cus_ArrivedAppointmentsCreateDoc_new,SUCCESS,0,0:00:00.401672
cus_casesInsurance_bak_20220221,"ERROR: (pymysql.err.OperationalError) (1292, ""Incorrect datetime value: 'NaT' for column 'ReferralIssuedDate' at row 1"") [SQL: INSERT INTO `CentricityPS_incremental`.`cus_casesInsurance_bak_20220221` (`CasesInsuranceId`, `CasesId`, `PatientProfileId`, `OrderForClaims`, `Inactive`, `PatientInsuranceId`, `In",0,0:00:37.697824
cus_casesInsurance_bak_20220406,"ERROR: (pymysql.err.OperationalError) (1292, ""Incorrect datetime value: 'None' for column 'ReferralIssuedDate' at row 1"") [SQL: INSERT INTO `CentricityPS_incremental`.`cus_casesInsurance_bak_20220406` (`CasesInsuranceId`, `CasesId`, `PatientProfileId`, `OrderForClaims`, `Inactive`, `PatientInsuranceId`, `I",0,0:00:33.284787
cus_casesinsurance02_10_22,"ERROR: (pymysql.err.OperationalError) (1292, ""Incorrect datetime value: 'NaT' for column 'ReferralIssuedDate' at row 1"") [SQL: INSERT INTO `CentricityPS_incremental`.cus_casesinsurance02_10_22 (`CasesInsuranceId`, `CasesId`, `PatientProfileId`, `OrderForClaims`, `Inactive`, `PatientInsuranceId`, `Insurance",0,0:00:43.873758
cus_completeOrders,SUCCESS,136402,0:01:36.519151
cus_Conv_TransferFrom,SUCCESS,0,0:00:00.689242
cus_Conv_TransferTo,SUCCESS,0,0:00:01.105135
cus_DocBat_AddedDocuments,SUCCESS,0,0:00:01.332337
cus_DocBat_Admin,SUCCESS,0,0:00:01.397365
cus_docbat_debug_new,SUCCESS,0,0:00:00.315334
cus_DocBat_DocuBatchFaxBook,SUCCESS,0,0:00:01.396474
cus_DocBat_FaxBookGroups,SUCCESS,0,0:00:01.345999
cus_doctorFacility12_28_22,"ERROR: (pymysql.err.DataError) (1366, ""Incorrect integer value: 'nan' for column 'FileFacilityFees' at row 1"") [SQL: INSERT INTO `CentricityPS_incremental`.`cus_doctorFacility12_28_22` (`DoctorFacilityId`, `PVId`, `Type`, `Inactive`, `LoginUser`, `Prefix`, `First`, `Middle`, `Last`, `Suffix`, `OrgName`, `O",0,0:00:09.878413
cus_EDIEligibility_bak_20220221,SUCCESS,17112,0:00:03.412524
cus_erxrefillrequestbak_new,SUCCESS,0,0:00:00.277843
cus_ERXRefillRequestError,SUCCESS,467,0:00:01.826492
cus_eStmt_StatementBatch_Guarantor,SUCCESS,0,0:00:00.698878
cus_eStmt_StatementBatch_GuarantorAging,SUCCESS,0,0:00:01.501599
cus_eStmt_StatementBatch_GuarantorPayments,SUCCESS,0,0:00:01.551339
cus_eStmt_StatementBatch_GuarantorProcs,SUCCESS,0,0:00:01.347600
cus_eStmt_StatementBatch_GuarantorVisits,SUCCESS,0,0:00:01.483507
cus_eStmt_StatementBatch_Patient,SUCCESS,0,0:00:00.679023
cus_eStmt_StatementBatch_PatientPayments,SUCCESS,0,0:00:01.407989
Cus_EZP_AppointmentRequests,SUCCESS,0,0:00:01.371839
Cus_EZP_AutoShareDoc_Settings_new,SUCCESS,0,0:00:00.397115
Cus_EZP_CustomText_new,SUCCESS,0,0:00:00.273832
Cus_EZP_DOCDATA2,SUCCESS,0,0:00:01.414909
Cus_EZP_Docs,SUCCESS,0,0:00:01.429120
Cus_EZP_DocType_new,SUCCESS,0,0:00:00.274819
Cus_EZP_EligPracticeTypeCode_new,SUCCESS,0,0:00:00.280349
Cus_EZP_EligSearchOptions_new,SUCCESS,0,0:00:00.384512
Cus_EZP_Email_Settings_new,SUCCESS,0,0:00:00.280774
Cus_EZP_EmailGroups_new,SUCCESS,0,0:00:00.393225
Cus_EZP_EmailHistory_new,SUCCESS,0,0:00:00.282643
Cus_EZP_EMRSettings_new,SUCCESS,0,0:00:00.277622
Cus_EZP_FaxCoverPage,SUCCESS,2,0:00:01.462637
Cus_EZP_FaxCoverPageTemplate,SUCCESS,1,0:00:01.369176
Cus_EZP_FaxDocLink,SUCCESS,840889,0:00:50.456733
Cus_EZP_FaxGroup,SUCCESS,2,0:00:00.806302
Cus_EZP_FaxNumber_new,SUCCESS,0,0:00:00.286740
Cus_EZP_FaxShare_new,SUCCESS,0,0:00:00.272639
